"code","SNP","Con","Lib Dem","Lab","mtime","turnout","majority","electorate","percentageTurnout","percentageChangeTurnout","swing","lastPercentageMajority","sittingParty","winningParty","PC","Brexit","Green","Ind","Soc Dem","BSJP","UKIP","Speaker","Alliance","DUP","UUP","Young","Yorkshire","Libertarian","Lib","CPA","AWP","Loony","NE Party","SDLP","SF","Gwlad","ND","Wycombe","LD","dec.constituency","dec.Con","dec.Lab","dec.LD","dec.Brexit","dec.Green","dec.SNP","dec.PC","dec.Other","nov.Con","nov.Lab","nov.LD","nov.Brexit","nov.Green","nov.SNP","nov.PC","nov.Other","conLead","predConLead"
"E14000674",NA,27.06,17.23,51.33,"2019-12-13T02:10:49.000Z",54807,24.27,75510,72.58,-2,-8.37,24.95,"Lab","Lab",NA,1.21,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.23,"Ealing Central and Acton",32,52,11,2,2,0,0,0,31,49,15,3,3,0,0,0,-24.27,-20
"E14000693",NA,64.38,10.72,20.27,"2019-12-13T02:09:51.000Z",50268,44.11,74305,67.65,-0.29,2.42,35.93,"Con","Con",NA,NA,3.93,NA,0.34,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.72,"Epping Forest",60,21,12,0,4,0,0,3,61,20,13,0,4,0,0,3,44.11,39
"E14000706",NA,60.94,8.03,25.33,"2019-12-13T01:26:04.000Z",46659,35.61,66847,69.8,-0.67,2.11,25.41,"Con","Con",NA,NA,3.71,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.03,"Fylde",55,30,9,0,4,0,0,3,57,27,11,0,4,0,0,2,35.61,25
"E14000709",NA,34.74,7.32,53.61,"2019-12-13T01:47:29.000Z",38145,18.87,64449,59.19,-5.4,-11.53,41.21,"Lab","Lab",NA,NA,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.32,"Gateshead",32,55,9,0,4,0,0,0,23,49,8,16,4,0,0,0,-18.87,-23
"E14000725",NA,22.42,3.9,63.49,"2019-12-13T00:47:53.000Z",46203,41.07,71930,64.23,-3.18,-9.45,51.3,"Lab","Lab",NA,8.07,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,"Halton",24,55,6,12,3,0,0,0,24,55,7,11,3,0,0,0,-41.07,-31
"E14000729",NA,63.45,5.53,31.02,"2019-12-13T02:02:23.000Z",43354,32.43,68078,63.68,-2.56,9.43,15.68,"Con","Con",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53,"Harlow",58,35,7,0,0,0,0,0,60,32,8,0,0,0,0,0,32.43,23
"E14000730",NA,52.62,35.63,9.62,"2019-12-13T01:56:49.000Z",56937,16.99,77914,73.08,-0.36,-2.85,32.02,"Con","Con",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.63,"Harrogate and Knaresborough",50,10,38,0,0,0,0,2,52,10,36,0,0,0,0,2,43,40
"E14000736",NA,65.39,12.42,17.97,"2019-12-13T02:09:56.000Z",45959,47.42,72130,63.72,-0.2,5.63,34.45,"Con","Con",NA,NA,3.47,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.42,"Havant",62,20,11,0,4,0,0,3,61,18,13,0,4,0,0,3,47.42,42
"E14000754",NA,32.89,5.83,40.72,"2019-12-12T23:31:09.000Z",39811,7.83,68835,57.84,-3.05,-18.75,29.75,"Lab","Lab",NA,15.49,2.83,NA,NA,NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.83,"Houghton and Sunderland South",29,45,5,16,3,0,0,3,28,45,6,16,3,0,0,2,-7.83,-16
"E14000765",NA,27.6,5.79,45.08,"2019-12-13T01:32:42.000Z",40736,17.48,65103,62.57,-3.79,-20.05,40.13,"Ind","Lab",NA,10.12,2.04,1.51,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.79,"Jarrow",23,47,6,17,4,0,0,3,26,49,5,14,4,0,0,2,-17.48,-24
"E14000769",NA,60.35,6.82,26.38,"2019-12-13T01:27:19.000Z",49361,33.97,73187,67.45,-1.63,2.42,21.38,"Con","Con",NA,NA,3.13,3.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.82,"Kettering",54,34,6,0,3,0,0,2,54,32,8,0,4,0,0,2,33.97,20
"E14000775",NA,8.07,2.03,80.77,"2019-12-13T01:47:07.000Z",54938,72.7,84060,65.36,-2.51,-4.57,76.08,"Lab","Lab",NA,6.09,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03,"Knowsley",13,67,4,10,3,0,0,2,15,64,6,9,4,0,0,2,-72.7,-54
"E14000782",NA,38.59,5.67,50.77,"2019-12-13T02:02:48.000Z",49421,12.18,78432,63.01,-4.38,-16.22,42.78,"Lab","Lab",NA,2.52,1.8,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.67,"Leicester East",27,54,8,4,5,0,0,2,24,53,9,6,5,0,0,2,-12.18,-27
"E14000783",NA,21.8,5.49,67.01,"2019-12-13T01:47:07.000Z",50147,45.21,77665,64.57,-2.31,-6.54,51.98,"Lab","Lab",NA,2.37,3.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.49,"Leicester South",22,65,6,4,4,0,0,0,20,64,6,5,5,0,0,0,-45.21,-43
"E14000784",NA,37.61,5.2,49.72,"2019-12-13T02:13:08.000Z",34775,12.11,64918,53.57,-4.29,-11.12,29.48,"Lab","Lab",NA,4.66,2.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,"Leicester West",29,56,5,6,3,0,0,0,28,53,6,9,5,0,0,0,-12.11,-27
"E14000785",NA,45.27,4.79,41.08,"2019-12-13T02:07:05.000Z",46979,4.19,77417,60.68,-0.82,9.44,20.38,"Lab","Con",NA,6.73,NA,1.17,NA,NA,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.79,"Leigh",39,43,5,11,0,0,0,2,40,39,7,12,0,0,0,2,4.19,-4
